date,engine,id,mode,query,type
22:20:02   5/13/2018,google, , , ,URLmap
22:20:02   5/13/2018,google, , , ,info
22:19:58   5/13/2018,google,352,timed,jack in the,query
22:19:56   5/13/2018,google, , , ,info
22:19:56   5/13/2018,google, , , ,URLmap
22:19:55   5/13/2018,google, , , ,info
22:19:49   5/13/2018,google,351,timed,jack the box,query
22:19:41   5/13/2018,google,350,timed,jack in the,query
22:19:34   5/13/2018,google,349,timed,in the box,query
22:19:26   5/13/2018,google,348,timed,jack in box,query
22:19:19   5/13/2018,google,347,timed,netflix,query
22:19:10   5/13/2018,google,346,timed,m.i.a.,query
22:19:01   5/13/2018,google,345,timed,ipad cases,query
22:18:52   5/13/2018,google,344,timed,space shuttle discovery,query
22:18:45   5/13/2018,google,343,timed,hugh hefner,query
22:18:38   5/13/2018,google,342,timed,ncis,query
22:18:30   5/13/2018,google,341,timed,face transplant,query
22:18:23   5/13/2018,google,340,timed,crib recall,query
22:18:15   5/13/2018,google,339,timed,Goldman Sachs,query
22:18:07   5/13/2018,google,338,timed,myspace,query
22:17:59   5/13/2018,google,337,timed,Rolling Stone Magazine,query
22:17:51   5/13/2018,google,336,timed,madea's big family,query
22:17:44   5/13/2018,google,335,timed,madea's big happy family,query
22:17:34   5/13/2018,google,334,timed,Big Happy,query
22:17:25   5/13/2018,google,333,timed,madea's big happy,query
22:17:15   5/13/2018,google,332,timed,madea's big,query
22:17:06   5/13/2018,google,331,timed,palm,query
22:16:59   5/13/2018,google,330,timed,gang starr,query
22:16:51   5/13/2018,google,329,timed,montreal canadiens,query
22:16:41   5/13/2018,google,328,timed,auto financing,query
22:16:33   5/13/2018,google,327,timed,offshore drilling,query
22:16:24   5/13/2018,google,326,timed,ncis,query
22:16:16   5/13/2018,google,325,timed,matt damon,query
22:16:09   5/13/2018,google,324,timed,7-eleven,query
22:16:01   5/13/2018,google,323,timed,southwest airlines,query
22:15:52   5/13/2018,google,322,timed,Stephen Hawking,query
22:15:43   5/13/2018,google,321,timed,crib recall,query
22:15:35   5/13/2018,google,320,timed,blackberry,query
22:15:28   5/13/2018,google,319,timed,montreal canadiens,query
22:15:19   5/13/2018,google,318,timed,conan o'brien,query
22:15:12   5/13/2018,google,317,timed,joey lawrence,query
22:15:04   5/13/2018,google,316,timed,american idol,query
22:14:55   5/13/2018,google,315,timed,7-eleven,query
22:14:46   5/13/2018,google,314,timed,ipad cases,query
22:14:36   5/13/2018,google,313,burst,dukan diet,query
22:14:29   5/13/2018,google,312,burst,amazon,query
22:14:22   5/13/2018,google,311,burst,justin bieber,query
22:14:13   5/13/2018,google,310,burst,oil spill,query
22:14:04   5/13/2018,google,309,burst,youtube,query
22:13:54   5/13/2018,google,308,burst,madea's big family,query
22:13:50   5/13/2018,google,307,burst,gang starr,query
22:13:44   5/13/2018,google,306,burst,youtube,query
22:13:39   5/13/2018,google,305,burst,beef recall,query
22:13:33   5/13/2018,google,304,timed,kentucky derby,query
22:13:33   5/13/2018,google, , , ,info
22:13:33   5/13/2018,google, , , ,URLmap
22:13:33   5/13/2018,google, , , ,info
22:13:24   5/13/2018,google,303,timed,volcanic ash,query
22:13:15   5/13/2018,google,302,timed,oil rig explosion,query
22:13:05   5/13/2018,google,301,timed,palm,query
22:12:55   5/13/2018,google,300,timed,auto financing,query
22:12:46   5/13/2018,google,299,timed,joey lawrence,query
